,Artist Name,Song Name,education,knowledge,school,science,teach,teacher
929,Boogie Down Productions,Ya Know the Rules,2,0,1,1,1,1
930,Boogie Down Productions,Ya Know the Rules,2,0,1,1,1,1
1913,Dead Prez,They Schools,2,0,8,0,3,0
1914,Dead Prez,They Schools,2,0,8,0,3,0
3342,J. Cole,Villuminati,1,0,0,0,0,0
3952,Kendrick Lamar,Good Kid,1,0,0,0,0,0
258,Action Bronson,The Rainmaker,1,0,0,0,0,0
2675,Ghostface Killah,Child's Play,1,1,5,0,0,0
2674,Ghostface Killah,Child's Play,1,1,5,0,0,0
7341,Talib Kweli,Bushonomics,1,0,0,0,0,0
6469,Public Enemy,Terminator X to the Edge of Panic,1,0,0,0,0,0
4974,LL Cool J,Loungin,1,0,0,0,0,0
4484,KRS-One,The Message 2002,1,1,0,1,1,0
8629,Wu Tang Clan,Bells of War,1,0,1,0,0,0
2619,Geto Boys,Street Life,1,0,0,0,0,0
4394,KRS-One,Higher Level,1,0,0,0,0,0
1439,CunninLynguists,Missing Children,1,0,0,0,0,0
8078,Trick Daddy,Thug Holiday,1,0,0,0,1,0
4397,KRS-One,Hiphop Knowledge,1,0,0,0,0,0
1894,Dead Prez,Learning Growing Changing,1,1,0,0,1,0
946,Brand Nubian,Brand Nubian,1,2,1,0,1,1
3289,Immortal Technique,That's What It Is,1,0,0,0,0,0
2312,E-40,Things'll Never Change,1,0,0,0,0,0
7415,Talib Kweli,State of Grace,1,1,0,0,0,0
4665,Lil B,Nyu,1,1,0,0,0,0
3245,Ice Cube,What Can I Do?,1,0,0,0,0,0
7403,Talib Kweli,Rush,1,0,0,0,0,0
7868,The Roots,The Ultimate,1,0,0,0,0,0
4914,LL Cool J,Dear Yvette,1,0,0,0,0,0
651,Biz Markie,Check It Out,1,0,3,0,0,1
945,Brand Nubian,Brand Nubian,1,2,1,0,1,1
903,Boogie Down Productions,Questions and Answers,1,0,1,0,1,0
5916,Nas,2nd Childhood,1,0,1,0,0,0
7395,Talib Kweli,Over the Counter,1,0,0,0,0,0
6458,Public Enemy,Shut 'Em Down,1,0,0,0,0,0
6459,Public Enemy,Shut 'Em Down,1,0,0,0,0,0
6460,Public Enemy,Shut Em Down,1,0,0,0,0,0
619,Big Daddy Kane,Rap Summary (Lean on Me),1,1,2,0,0,0
3020,GZA,True Fresh M.C.,1,0,1,0,0,0
185,A Tribe Called Quest,Midnight,1,0,0,0,0,0
2661,Ghostface Killah,Big Girl,1,0,1,0,1,0
425,Atmosphere,The Outernet,1,0,0,0,0,0
5404,Master P,Love Hate,1,0,0,0,0,0
4020,Killah Priest,Gods Time,1,0,0,0,0,0
4446,KRS-One,Preserve the Kulture,1,0,0,0,0,0
4024,Killah Priest,Gun for Gun,1,0,0,0,1,0
5569,Method Man,Ridin' for Outro,1,0,0,0,0,0
6367,Public Enemy,Brothers Gonna Work It Out,1,0,0,0,1,0
6368,Public Enemy,Brothers Gonna Work It Out,1,0,0,0,1,0
4613,Lil B,Fuck Em,1,1,0,0,0,0
