,Artist Name,Song Name,education,knowledge,school,science,teach,teacher
2490,Gang Starr,Knowledge,0,12,0,1,0,0
925,Boogie Down Productions,Why Is That?,0,4,0,0,2,0
994,Brand Nubian,Wake Up,0,4,0,0,0,0
926,Boogie Down Productions,Why Is That?,0,4,0,0,2,0
6654,Rakim,Follow the Leader,0,3,0,0,0,0
950,Brand Nubian,Dance to My Ministry,0,3,0,0,0,0
7420,Talib Kweli,The Beast,0,3,0,0,0,0
4412,KRS-One,Knowledge Reigns Supreme,0,3,0,1,0,0
4411,KRS-One,Knowledge Reigns Supreme,0,3,0,1,0,0
4407,KRS-One,I'm on the Mic,0,3,0,0,0,0
4358,KRS-One,Beware,0,3,0,0,0,0
6920,RZA,The Birth,0,3,0,0,0,0
933,Boogie Down Productions,You Must Learn,0,3,2,0,1,0
954,Brand Nubian,Drop the Bomb,0,3,3,0,1,0
4392,KRS-One,"Health, Wealth, Self",0,3,0,0,0,0
8237,Tupac,Panther Power,0,2,0,0,0,0
955,Brand Nubian,Feels So Good,0,2,0,0,0,0
6657,Rakim,In the Ghetto,0,2,0,0,0,0
4046,Killah Priest,It's Over,0,2,0,3,0,0
4606,Lil B,Exhibit 6,0,2,0,0,0,0
956,Brand Nubian,Foundation,0,2,0,0,1,0
6650,Rakim,As the Rhyme Goes On,0,2,0,0,0,0
2688,Ghostface Killah,Ghost Deini,0,2,0,0,0,0
4493,KRS-One,The Way We Live,0,2,0,0,0,0
4692,Lil B,The Growth,0,2,0,0,0,0
2939,GZA,B.I.B.L.E. (Basic Instructions Before Leaving Earth),0,2,0,0,1,0
2687,Ghostface Killah,Ghost Deini,0,2,0,0,0,0
2677,Ghostface Killah,Daytona 500,0,2,0,0,0,0
965,Brand Nubian,Love vs. Hate,0,2,0,0,0,1
4462,KRS-One,South Bronx 2002,0,2,0,0,0,1
4628,Lil B,I Am the Ocean,0,2,0,0,0,0
6876,RZA,Daily Routine,0,2,0,0,0,0
990,Brand Nubian,To the Right,0,2,1,1,0,0
4509,KRS-One,You Gon Go?,0,2,1,0,1,0
870,Boogie Down Productions,Criminal Minded,1,2,0,0,0,1
869,Boogie Down Productions,Criminal Minded,1,2,0,0,0,1
952,Brand Nubian,Don't Let It Go to Your Head,0,2,0,0,0,0
7338,Talib Kweli,Before He Walked,0,2,0,0,0,0
6667,Rakim,Move the Crowd,0,2,0,0,0,0
6632,Raekwon,The Table,0,2,0,0,0,0
973,Brand Nubian,Ragtime,0,2,1,0,0,0
3083,Ice-T,Message to the Soldier,0,2,0,1,0,0
6524,Raekwon,Ason Jones,0,2,1,0,0,0
4053,Killah Priest,Looking Glass,0,2,1,0,0,0
6898,RZA,Love Jones,0,2,0,0,0,0
3248,Ice Cube,When I Get to Heaven,0,2,0,0,0,0
4400,KRS-One,Hush,0,2,0,0,0,2
945,Brand Nubian,Brand Nubian,1,2,1,0,1,1
946,Brand Nubian,Brand Nubian,1,2,1,0,1,1
4354,KRS-One,Are You Ready for This,0,2,0,0,2,0
