,Artist Name,Song Name,education,knowledge,school,science,teach,teacher
6680,Rakim,Teach the Children,0,0,0,0,6,0
5248,Mac Dre,Hotta Den Steam,0,0,0,0,6,0
5247,Mac Dre,Hotta Den Steam,0,0,0,0,6,0
6456,Public Enemy,RLTK,0,0,0,0,4,0
3489,Jay-Z,Get Your Mind Right Mami,0,0,0,0,4,0
8264,Tupac,Souljah's Revenge,0,0,0,0,4,0
3625,Jay-Z,Where Have You Been,0,0,0,0,3,0
1914,Dead Prez,They Schools,2,0,8,0,3,0
8197,Tupac,Last Wordz,0,0,0,0,3,0
1913,Dead Prez,They Schools,2,0,8,0,3,0
300,Aesop Rock,Gun for the Whole Family,0,0,0,0,3,0
4605,Lil B,Everything,0,0,0,0,3,0
5727,Missy Elliott,You Don't Know,0,0,0,0,3,0
6873,RZA,Cherry Range,0,0,0,0,3,0
794,Bone Thugs-n-Harmony,If I Could Teach the World,0,0,0,0,3,0
949,Brand Nubian,Concerto in X Minor,0,0,0,0,2,0
8327,Tupac,Words of Wisdom,1,1,0,0,2,0
883,Boogie Down Productions,"Gimme, Dat, (Woy)",0,0,1,0,2,3
2152,E-40,Club on Lock,0,0,0,0,2,0
8596,Wale,Lotus Flower Bomb,0,0,0,0,2,0
2247,E-40,Mustard and Mayonnaise,0,0,0,0,2,0
810,Bone Thugs-n-Harmony,Mo' Thug,0,0,0,0,2,0
8373,Twista,Hope,0,0,0,0,2,0
859,Bone Thugs-n-Harmony,Young Thugs,0,0,0,0,2,0
642,Big Daddy Kane,Wrath of Kane,0,1,1,1,2,0
3827,Juvenile,They Lied,0,0,0,0,2,0
8722,Wu Tang Clan,Wu-Revolution,0,1,0,0,2,0
4208,Kool G Rap,"Play It Again, Polo",0,0,0,0,2,0
4447,KRS-One,Problemz,0,0,0,0,2,0
4448,KRS-One,Problemz,0,0,0,0,2,0
5181,Lupe Fiasco,Real,0,0,0,0,2,0
4919,LL Cool J,Droppin' Em,0,0,0,0,2,0
7534,Tech n9ne,K.O.D.,0,0,0,0,2,0
926,Boogie Down Productions,Why Is That?,0,4,0,0,2,0
4386,KRS-One,Gunnen' Em Down,0,0,0,0,2,0
5012,LL Cool J,The Power of God,0,1,1,0,2,0
3102,Ice-T,Race War,0,0,1,0,2,0
8664,Wu Tang Clan,Hellz Wind Staff,0,0,1,0,2,0
4356,KRS-One,Attendance,0,1,0,0,2,0
4354,KRS-One,Are You Ready for This,0,2,0,0,2,0
4791,Lil Wayne,I Miss My Dawgs,0,0,0,0,2,0
8754,Xzibit,F****n' You Right,0,0,0,0,2,0
925,Boogie Down Productions,Why Is That?,0,4,0,0,2,0
705,Blackalicious,Chemical Calisthenics,0,0,0,0,2,0
4810,Lil Wayne,Loyalty (Skit),0,0,0,0,2,0
930,Boogie Down Productions,Ya Know the Rules,2,0,1,1,1,1
4021,Killah Priest,Goodbye,0,0,0,0,1,0
931,Boogie Down Productions,Ya Slippin',0,0,0,0,1,0
961,Brand Nubian,I'm Black and I'm Proud,0,0,0,0,1,0
964,Brand Nubian,Love Me or Leave Me Alone,0,0,0,0,1,0
